,Unnamed: 0,well,gen,f0,fit,experiment,sl clone,focal
0,0,A1,17k,0.000869788,-1.177751015,Sl+L+S,1.0,Sl
1,1,A2,17k,0.000869788,-0.994207837,Sl+L+S,1.0,Sl
2,2,A3,17k,0.000869788,-1.3785470659999999,Sl+L+S,1.0,Sl
3,3,A4,40k,0.021939032999999997,0.017611697,Sl+L+S,1.0,Sl
4,4,A5,40k,0.021939032999999997,0.039877077999999996,Sl+L+S,1.0,Sl
5,5,A6,40k,0.021939032999999997,0.011338299,Sl+L+S,1.0,Sl
0,0,A1,6.5k,0.9877064190000001,-0.2558558202375315,S+Sl,2.0,Sl
1,1,A10,17k,0.0012852249999999454,0.015665654733103083,Sl+L,3.0,Sl
2,2,A11,40k,0.985160264,0.06764786603698791,Sl+L,2.0,Sl
3,3,A12,40k,0.06546207299999995,0.8315345301583682,Sl+L,2.0,Sl
4,4,A2,6.5k,0.009198245999999966,-0.015104430441903403,S+Sl,2.0,Sl
5,5,A3,6.5k,0.963344743,-0.15515493903037886,S+Sl,3.0,Sl
6,6,A4,6.5k,0.006052556999999958,0.11173797092163104,S+Sl,3.0,Sl
9,9,A7,17k,0.7039891039999999,-2.3767689568927923,Sl+L,2.0,Sl
10,10,A8,17k,0.0015887580000000234,-0.11255139211527222,Sl+L,2.0,Sl
11,11,A9,17k,0.7187055769999999,-2.186053515432864,Sl+L,3.0,Sl
12,12,B1,6.5k,0.9877064190000001,-0.1395571660436868,S+Sl,2.0,Sl
13,13,B10,17k,0.0012852249999999454,-0.08387558790082086,Sl+L,3.0,Sl
14,14,B11,40k,0.985160264,0.3030533462450057,Sl+L,2.0,Sl
15,15,B12,40k,0.06546207299999995,0.7865330933585429,Sl+L,2.0,Sl
16,16,B2,6.5k,0.009198245999999966,-0.10841685699430967,S+Sl,2.0,Sl
17,17,B3,6.5k,0.963344743,-0.07599802792405777,S+Sl,3.0,Sl
18,18,B4,6.5k,0.006052556999999958,0.2391382500669859,S+Sl,3.0,Sl
21,21,B7,17k,0.7039891039999999,-2.5615803022458423,Sl+L,2.0,Sl
22,22,B8,17k,0.0015887580000000234,0.001325919078110608,Sl+L,2.0,Sl
23,23,B9,17k,0.7187055769999999,-2.0090519350221547,Sl+L,3.0,Sl
24,24,C1,6.5k,0.9877064190000001,-0.1981565356488372,S+Sl,2.0,Sl
25,25,C10,17k,0.0012852249999999454,0.10622882505159108,Sl+L,3.0,Sl
26,26,C11,40k,0.985160264,0.11363210169948446,Sl+L,2.0,Sl
27,27,C12,40k,0.06546207299999995,0.7927307732473077,Sl+L,2.0,Sl
28,28,C2,6.5k,0.009198245999999966,0.006295510203661529,S+Sl,2.0,Sl
29,29,C3,6.5k,0.963344743,-0.7181365062659008,S+Sl,3.0,Sl
30,30,C4,6.5k,0.006052556999999958,0.02919036697012517,S+Sl,3.0,Sl
33,33,C7,17k,0.7039891039999999,-2.1573827984951555,Sl+L,2.0,Sl
34,34,C8,17k,0.0015887580000000234,-0.11250760064808896,Sl+L,2.0,Sl
35,35,C9,17k,0.7187055769999999,-1.856713147287009,Sl+L,3.0,Sl
36,36,D1,40k,0.980532402,0.09762424265811696,Sl+L,3.0,Sl
37,37,D10,17k,0.0018941059999999512,-0.6438732788952126,S+Sl,2.0,Sl
38,38,D11,17k,0.660717832,-1.6637880308335302,S+Sl,3.0,Sl
39,39,D12,17k,0.0006621079999999946,-0.003193778141634664,S+Sl,3.0,Sl
40,40,D2,40k,0.04650696799999998,0.9457235246021672,Sl+L,3.0,Sl
41,41,D3,6.5k,0.975102,-0.2701670475279325,Sl+L,2.0,Sl
42,42,D4,6.5k,0.020599015000000054,0.0932192422811059,Sl+L,2.0,Sl
43,43,D5,6.5k,0.967441505,-0.12526704712367567,Sl+L,3.0,Sl
44,44,D6,6.5k,0.005674457999999993,0.09192696060619868,Sl+L,3.0,Sl
47,47,D9,17k,0.5785646210000001,-2.04631557742784,S+Sl,2.0,Sl
48,48,E1,40k,0.980532402,-0.6056470324861614,Sl+L,3.0,Sl
49,49,E10,17k,0.0018941059999999512,-0.3392975028477679,S+Sl,2.0,Sl
50,50,E11,17k,0.660717832,-1.5470856538353297,S+Sl,3.0,Sl
51,51,E12,17k,0.0006621079999999946,-0.07511693572633997,S+Sl,3.0,Sl
52,52,E2,40k,0.04650696799999998,1.1089139275978972,Sl+L,3.0,Sl
53,53,E3,6.5k,0.975102,-0.08178898008797753,Sl+L,2.0,Sl
54,54,E4,6.5k,0.020599015000000054,0.14506580044160505,Sl+L,2.0,Sl
55,55,E5,6.5k,0.967441505,-0.09673991550626676,Sl+L,3.0,Sl
56,56,E6,6.5k,0.005674457999999993,-0.13572142968489345,Sl+L,3.0,Sl
59,59,E9,17k,0.5785646210000001,-1.8535601056573188,S+Sl,2.0,Sl
60,60,F1,40k,0.980532402,-0.10224059086712586,Sl+L,3.0,Sl
61,61,F10,17k,0.0018941059999999512,-0.5276990132579222,S+Sl,2.0,Sl
62,62,F11,17k,0.660717832,-1.4951338213342464,S+Sl,3.0,Sl
63,63,F12,17k,0.0006621079999999946,0.003918612298209672,S+Sl,3.0,Sl
64,64,F2,40k,0.04650696799999998,0.9256043459120248,Sl+L,3.0,Sl
65,65,F3,6.5k,0.975102,-0.2592803187942357,Sl+L,2.0,Sl
66,66,F4,6.5k,0.020599015000000054,0.14837251149238018,Sl+L,2.0,Sl
67,67,F5,6.5k,0.967441505,-0.091490549148675,Sl+L,3.0,Sl
68,68,F6,6.5k,0.005674457999999993,0.008070920111390803,Sl+L,3.0,Sl
71,71,F9,17k,0.5785646210000001,-1.9994400942123138,S+Sl,2.0,Sl
0,0,A1,40k,0.034124556616380815,1.0451464545743256,S+Sl,2.0,Sl
1,1,A10,40k,0.4934202930207047,-0.09314613704918967,Sl+L+S,2.0,Sl
2,2,A11,40k,0.3754229840322303,0.25907689105930004,Sl+L+S,3.0,Sl
3,3,A2,40k,0.9914972047394004,0.15648215925601391,S+Sl,2.0,Sl
4,4,A3,40k,0.03871707354647158,1.0111521688048943,S+Sl,3.0,Sl
5,5,A4,40k,0.9942360510286188,-0.02502178060747276,S+Sl,3.0,Sl
6,6,A5,6.5k,0.1715011293077192,-0.045377088190483236,Sl+L+S,2.0,Sl
7,7,A6,6.5k,0.14059975863290508,0.012492593632080044,Sl+L+S,3.0,Sl
9,9,C1,40k,0.034124556616380815,1.0082069079127245,S+Sl,2.0,Sl
10,10,C10,40k,0.4934202930207047,-0.4782490082885288,Sl+L+S,2.0,Sl
11,11,C11,40k,0.3754229840322303,-0.16002338238203204,Sl+L+S,3.0,Sl
12,12,C2,40k,0.9914972047394004,0.008933942885382037,S+Sl,2.0,Sl
13,13,C3,40k,0.03871707354647158,1.001053859059052,S+Sl,3.0,Sl
14,14,C4,40k,0.9942360510286188,-0.11817581686854613,S+Sl,3.0,Sl
15,15,C5,6.5k,0.1715011293077192,-0.020296874493256,Sl+L+S,2.0,Sl
16,16,C6,6.5k,0.14059975863290508,-0.02827374148596233,Sl+L+S,3.0,Sl
18,18,E1,40k,0.034124556616380815,1.063080366333117,S+Sl,2.0,Sl
19,19,E10,40k,0.4934202930207047,-0.27528954610085016,Sl+L+S,2.0,Sl
20,20,E11,40k,0.3754229840322303,-0.3353516245254403,Sl+L+S,3.0,Sl
21,21,E2,40k,0.9914972047394004,0.13358134998139426,S+Sl,2.0,Sl
22,22,E3,40k,0.03871707354647158,0.9932104456913426,S+Sl,3.0,Sl
23,23,E4,40k,0.9942360510286188,-0.1421140014834766,S+Sl,3.0,Sl
24,24,E5,6.5k,0.1715011293077192,-0.027132500914707574,Sl+L+S,2.0,Sl
25,25,E6,6.5k,0.14059975863290508,-0.02510118048681161,Sl+L+S,3.0,Sl
0,0,A8,17k,0.0014510279999999998,-0.8017884208394545,Sl+L+S,2.0,Sl
1,1,A9,17k,0.001623657,-1.4836998361528433,Sl+L+S,3.0,Sl
2,2,C8,17k,0.0014510279999999998,-1.2306836946690147,Sl+L+S,2.0,Sl
3,3,C9,17k,0.001623657,-1.307024130561229,Sl+L+S,3.0,Sl
4,4,E8,17k,0.0014510279999999998,-1.3619627919404502,Sl+L+S,2.0,Sl
5,5,E9,17k,0.001623657,-1.0495749291259149,Sl+L+S,3.0,Sl
0,0,A1,17k,0.988810493,-0.31220398,S+L,,L
1,1,A3,17k,0.988810493,-0.139761802,S+L,,L
2,2,A5,17k,0.988810493,-0.030639469,S+L,,L
3,3,A7,6.5k,0.005404918000000001,0.355573585,Sl+L,1.0,Sl
4,4,B1,17k,0.01995891,0.611362745,S+L,,L
5,5,B3,17k,0.01995891,0.577969348,S+L,,L
6,6,B5,17k,0.01995891,0.559069925,S+L,,L
7,7,B7,6.5k,0.005404918000000001,0.406168975,Sl+L,1.0,Sl
8,8,C1,17k,0.000947943,0.058401665,S+Sl,1.0,Sl
9,9,C3,17k,0.000947943,0.05678354099999999,S+Sl,1.0,Sl
10,10,C5,17k,0.000947943,0.007574170999999999,S+Sl,1.0,Sl
11,11,C7,6.5k,0.005404918000000001,0.38814588899999997,Sl+L,1.0,Sl
12,15,G1,40k,0.028597743,0.834025621,S+Sl,1.0,Sl
13,16,G3,40k,0.028597743,0.878233791,S+Sl,1.0,Sl
14,17,G5,40k,0.028597743,0.826581495,S+Sl,1.0,Sl
15,18,H1,40k,0.996942421,-0.579834284,S+Sl,1.0,Sl
16,19,H3,40k,0.996942421,-0.42397304,S+Sl,1.0,Sl
17,20,H5,40k,0.996942421,-0.308606399,S+Sl,1.0,Sl
0,0,A1,40k,0.00750134,0.3192269406241663,S+L,,L
1,1,A10,6.5k,0.994989533,-1.1358553027481062,Sl+L,1.0,Sl
2,2,A11,6.5k,0.994989533,-1.182375232946448,Sl+L,1.0,Sl
3,3,A12,6.5k,0.994989533,-1.0477936133639791,Sl+L,1.0,Sl
4,4,A2,40k,0.00750134,0.2651020414957139,S+L,,L
5,5,A3,40k,0.00750134,0.2563703558431612,S+L,,L
6,6,A4,40k,0.979081352,-0.9925632528025408,S+L,,L
7,7,A5,40k,0.979081352,-0.880527023964484,S+L,,L
8,8,A6,40k,0.979081352,-0.97961942323847,S+L,,L
9,9,A7,6.5k,0.004480184,0.2878254364844623,Sl+L,1.0,Sl
10,10,A8,6.5k,0.004480184,0.20763152168364066,Sl+L,1.0,Sl
11,11,A9,6.5k,0.004480184,0.28620695915965005,Sl+L,1.0,Sl
12,12,C1,17k,0.0005121790000001125,-0.14035023802381086,Sl+L,1.0,Sl
13,13,C10,40k,0.992907852,-0.07140657907239717,Sl+L,1.0,Sl
14,14,C11,40k,0.992907852,-0.09746752934780124,Sl+L,1.0,Sl
15,15,C12,40k,0.992907852,-0.1307815487084786,Sl+L,1.0,Sl
16,16,C2,17k,0.0005121790000001125,-1.0677731728678141,Sl+L,1.0,Sl
17,17,C3,17k,0.0005121790000001125,-0.6184494728422002,Sl+L,1.0,Sl
18,18,C4,17k,0.269016803,-0.14493986187221436,Sl+L,1.0,Sl
19,19,C5,17k,0.269016803,-0.4238087808615592,Sl+L,1.0,Sl
20,20,C6,17k,0.269016803,-0.5513451749837686,Sl+L,1.0,Sl
21,21,C7,40k,0.0059927520000000465,1.1497549335537052,Sl+L,1.0,Sl
22,22,C8,40k,0.0059927520000000465,1.1295263045072763,Sl+L,1.0,Sl
23,23,C9,40k,0.0059927520000000465,1.1658413067034672,Sl+L,1.0,Sl
24,24,E1,6.5k,0.0355761790000001,-0.30902273116019896,Sl+L+S,1.0,Sl
25,25,E2,6.5k,0.0355761790000001,-0.2950192997920684,Sl+L+S,1.0,Sl
26,26,E3,6.5k,0.0355761790000001,-0.5917601855223463,Sl+L+S,1.0,Sl
0,0,A1,6.5k,0.9926527057911316,-0.13422811019352665,S+L,,L
1,1,A10,6.5k,0.007579350291127884,0.1720118181074099,S+Sl,1.0,Sl
2,2,A11,6.5k,0.007579350291127884,0.1605044208748107,S+Sl,1.0,Sl
3,3,A12,6.5k,0.007579350291127884,0.13477625311121352,S+Sl,1.0,Sl
4,4,A2,6.5k,0.9926527057911316,-0.1507012897777543,S+L,,L
5,5,A3,6.5k,0.9926527057911316,-0.17823110012218438,S+L,,L
6,6,A4,6.5k,0.9926527057911316,-0.14631738767983116,S+L,,L
7,7,A5,6.5k,0.9926527057911316,-0.13769586944310716,S+L,,L
8,8,A6,6.5k,0.9926527057911316,-0.15642844947010034,S+L,,L
9,9,A7,6.5k,0.007579350291127884,0.182836082236594,S+Sl,1.0,Sl
10,10,A8,6.5k,0.007579350291127884,0.14806461971352713,S+Sl,1.0,Sl
11,11,A9,6.5k,0.007579350291127884,0.10997671171872214,S+Sl,1.0,Sl
0,0,A10,6.5k,0.0185564028423596,0.5532501089063145,S+L,,L
1,1,A11,6.5k,0.0185564028423596,0.5040620748722935,S+L,,L
2,2,A12,6.5k,0.0185564028423596,0.476022602026022,S+L,,L
3,3,A7,6.5k,0.0172463371429814,0.4989530843056045,S+L,,L
4,4,A8,6.5k,0.0172463371429814,0.5458388558921276,S+L,,L
5,5,A9,6.5k,0.0172463371429814,0.5694453566157262,S+L,,L
6,6,C1,6.5k,0.9733601308426276,-0.2900421330671218,S+Sl,1.0,Sl
7,7,C2,6.5k,0.9733601308426276,-0.2729840930309727,S+Sl,1.0,Sl
8,8,C3,6.5k,0.9733601308426276,-0.3005502230159122,S+Sl,1.0,Sl
9,9,C4,6.5k,0.9693976549077276,-0.2591350015305013,S+Sl,1.0,Sl
10,10,C5,6.5k,0.9693976549077276,-0.2387316225441281,S+Sl,1.0,Sl
11,11,C6,6.5k,0.9693976549077276,-0.2751367638769745,S+Sl,1.0,Sl
